vsl_mult,fatality_rate,shooting_mult,causal_share,vsl,crash_fatality_cost,crash_injury_cost,crash_property_cost,total_crash_cost,adj_shooting_reduction,shooting_benefit,robbery_cost,total_cost,total_benefit,net,bc_ratio
1.3,0.01,0.7,0.75,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,2118.4020909876413,2581802548.3911877,0,194242503.02266327,2581802548.3911877,2387560045.3685246,13.291645794380829
1.3,0.01,0.7,1,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,2118.4020909876413,3442403397.854917,0,194242503.02266327,3442403397.854917,3248160894.832254,17.722194392507774
1.3,0.01,1,0,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3026.2887014109165,0,0,194242503.02266327,0,-194242503.02266327,0
1.3,0.01,1,0.25,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3026.2887014109165,1229429784.948185,0,194242503.02266327,1229429784.948185,1035187281.9255217,6.329355140181349
1.3,0.01,1,0.5,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3026.2887014109165,2458859569.89637,0,194242503.02266327,2458859569.89637,2264617066.873707,12.658710280362698
1.3,0.01,1,0.75,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3026.2887014109165,3688289354.844555,0,194242503.02266327,3688289354.844555,3494046851.821892,18.988065420544046
1.3,0.01,1,1,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3026.2887014109165,4917719139.79274,0,194242503.02266327,4917719139.79274,4723476636.770077,25.317420560725395
1.3,0.01,1.3,0,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3934.1753118341917,0,0,194242503.02266327,0,-194242503.02266327,0
1.3,0.01,1.3,0.25,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3934.1753118341917,1598258720.4326406,0,194242503.02266327,1598258720.4326406,1404016217.4099772,8.228161682235754
1.3,0.01,1.3,0.5,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3934.1753118341917,3196517440.865281,0,194242503.02266327,3196517440.865281,3002274937.842618,16.45632336447151
1.3,0.01,1.3,0.75,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3934.1753118341917,4794776161.297922,0,194242503.02266327,4794776161.297922,4600533658.275259,24.684485046707266
1.3,0.01,1.3,1,16250000,109789240.83889663,70940740.23436397,13512521.949402662,194242503.02266327,3934.1753118341917,6393034881.730562,0,194242503.02266327,6393034881.730562,6198792378.707899,32.91264672894302
1.3,0.015,0.7,0,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,2118.4020909876413,0,0,249137123.44211155,0,-249137123.44211155,0
1.3,0.015,0.7,0.25,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,2118.4020909876413,860600849.4637293,0,249137123.44211155,860600849.4637293,611463726.0216177,3.454326025658295
1.3,0.015,0.7,0.5,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,2118.4020909876413,1721201698.9274585,0,249137123.44211155,1721201698.9274585,1472064575.485347,6.90865205131659
1.3,0.015,0.7,0.75,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,2118.4020909876413,2581802548.3911877,0,249137123.44211155,2581802548.3911877,2332665424.949076,10.362978076974885
1.3,0.015,0.7,1,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,2118.4020909876413,3442403397.854917,0,249137123.44211155,3442403397.854917,3193266274.4128056,13.81730410263318
1.3,0.015,1,0,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,3026.2887014109165,0,0,249137123.44211155,0,-249137123.44211155,0
1.3,0.015,1,0.25,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,3026.2887014109165,1229429784.948185,0,249137123.44211155,1229429784.948185,980292661.5060735,4.934751465226137
1.3,0.015,1,0.5,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,3026.2887014109165,2458859569.89637,0,249137123.44211155,2458859569.89637,2209722446.4542584,9.869502930452274
1.3,0.015,1,0.75,16250000,164683861.25834492,70940740.23436397,13512521.949402662,249137123.44211155,3026.2887014109165,3688289354.844555,0,249137123.44211155,3688289354.844555,3439152231.4024434,14.804254395678411
