vsl_mult,injury_mult,robbery_mult,shooting_mult,crime_reduction,crash_cost,benefit,net,ratio
0.7,0.5,1.3,1.3,its_estimate,122525685.51980199,1942559210.5263157,1820033525.0065136,15.854301914616663
0.7,0.5,1.3,1.3,generous,122525685.51980199,3885118421.0526314,3762592735.5328293,31.708603829233326
0.7,1,0.7,0.7,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,0.7,0.7,its_estimate,155792905.6930693,1045993421.0526314,890200515.359562,6.713999051493165
0.7,1,0.7,0.7,generous,155792905.6930693,2091986842.1052628,1936193936.4121935,13.42799810298633
0.7,1,0.7,1,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,0.7,1,its_estimate,155792905.6930693,1045993421.0526314,890200515.359562,6.713999051493165
0.7,1,0.7,1,generous,155792905.6930693,2091986842.1052628,1936193936.4121935,13.42799810298633
0.7,1,0.7,1.3,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,0.7,1.3,its_estimate,155792905.6930693,1045993421.0526314,890200515.359562,6.713999051493165
0.7,1,0.7,1.3,generous,155792905.6930693,2091986842.1052628,1936193936.4121935,13.42799810298633
0.7,1,1,0.7,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,1,0.7,its_estimate,155792905.6930693,1494276315.7894735,1338483410.0964043,9.591427216418808
0.7,1,1,0.7,generous,155792905.6930693,2988552631.578947,2832759725.8858776,19.182854432837615
0.7,1,1,1,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,1,1,its_estimate,155792905.6930693,1494276315.7894735,1338483410.0964043,9.591427216418808
0.7,1,1,1,generous,155792905.6930693,2988552631.578947,2832759725.8858776,19.182854432837615
0.7,1,1,1.3,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,1,1.3,its_estimate,155792905.6930693,1494276315.7894735,1338483410.0964043,9.591427216418808
0.7,1,1,1.3,generous,155792905.6930693,2988552631.578947,2832759725.8858776,19.182854432837615
0.7,1,1.3,0.7,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,1.3,0.7,its_estimate,155792905.6930693,1942559210.5263157,1786766304.8332465,12.46885538134445
0.7,1,1.3,0.7,generous,155792905.6930693,3885118421.0526314,3729325515.359562,24.9377107626889
0.7,1,1.3,1,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,1.3,1,its_estimate,155792905.6930693,1942559210.5263157,1786766304.8332465,12.46885538134445
0.7,1,1.3,1,generous,155792905.6930693,3885118421.0526314,3729325515.359562,24.9377107626889
0.7,1,1.3,1.3,none,155792905.6930693,0,-155792905.6930693,0
0.7,1,1.3,1.3,its_estimate,155792905.6930693,1942559210.5263157,1786766304.8332465,12.46885538134445
0.7,1,1.3,1.3,generous,155792905.6930693,3885118421.0526314,3729325515.359562,24.9377107626889
0.7,1.5,0.7,0.7,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,0.7,0.7,its_estimate,189060125.86633664,1045993421.0526314,856933295.1862948,5.532596660768844
0.7,1.5,0.7,0.7,generous,189060125.86633664,2091986842.1052628,1902926716.2389262,11.065193321537688
0.7,1.5,0.7,1,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,0.7,1,its_estimate,189060125.86633664,1045993421.0526314,856933295.1862948,5.532596660768844
0.7,1.5,0.7,1,generous,189060125.86633664,2091986842.1052628,1902926716.2389262,11.065193321537688
0.7,1.5,0.7,1.3,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,0.7,1.3,its_estimate,189060125.86633664,1045993421.0526314,856933295.1862948,5.532596660768844
0.7,1.5,0.7,1.3,generous,189060125.86633664,2091986842.1052628,1902926716.2389262,11.065193321537688
0.7,1.5,1,0.7,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,1,0.7,its_estimate,189060125.86633664,1494276315.7894735,1305216189.923137,7.903709515384063
0.7,1.5,1,0.7,generous,189060125.86633664,2988552631.578947,2799492505.7126102,15.807419030768125
0.7,1.5,1,1,none,189060125.86633664,0,-189060125.86633664,0
