month_date,boro,robbery_count,shooting_incidents,pursuit_crashes,shots_fired_incidents,pop_2020,year,month,total_gun_events,robbery_rate,shooting_rate,crash_rate,gunviol_rate
2022-10-01,Manhattan,388,15,1,31,1694251,2022,10,46,274.81170145391684,10.624163716001938,0.7082775810667958,32.580768729072616
2022-10-01,Brooklyn,351,42,0,73,2736074,2022,10,115,153.94320475250305,18.420554414829425,0,50.43723232631866
2022-10-01,Queens,303,14,2,27,2405464,2022,10,41,151.15586847277697,6.984099533395636,0.9977285047708051,20.453434347801508
2022-10-01,Bronx,429,13,2,61,1472654,2022,10,74,349.5729478886419,10.593119632989147,1.6297107127675612,60.299296372399766
2022-10-01,Staten Island,27,2,0,8,495747,2022,10,10,65.35591743369096,4.841179069162295,0,24.20589534581147
2022-11-01,Manhattan,347,8,2,24,1694251,2022,11,32,245.77232063017817,5.666220648534367,1.4165551621335917,22.664882594137467
2022-11-01,Brooklyn,385,23,3,68,2736074,2022,11,91,168.85508213593639,10.087446465263731,1.3157538867735303,39.911201232130416
2022-11-01,Queens,311,17,2,23,2405464,2022,11,40,155.1467824918602,8.480692290551843,0.9977285047708051,19.954570095416106
2022-11-01,Bronx,444,30,6,65,1472654,2022,11,95,361.7957782343986,24.445660691513417,4.889132138302683,77.41125885645917
2022-11-01,Staten Island,29,2,1,8,495747,2022,11,10,70.19709650285327,4.841179069162295,2.4205895345811475,24.20589534581147
2022-12-01,Manhattan,257,19,0,24,1694251,2022,12,43,182.02733833416656,13.45727404026912,0,30.455935985872223
2022-12-01,Brooklyn,310,27,0,52,2736074,2022,12,79,135.9612349665981,11.841784980961773,0,34.648185685036296
2022-12-01,Queens,234,9,1,20,2405464,2022,12,29,116.7342350581842,4.489778271468623,0.49886425238540255,14.467063319176674
2022-12-01,Bronx,451,30,9,45,1472654,2022,12,75,367.499765729085,24.445660691513417,7.333698207454026,61.11415172878354
2022-12-01,Staten Island,33,0,0,6,495747,2022,12,6,79.87945464117786,0,0,14.523537207486882
2023-01-01,Manhattan,330,18,2,44,1694251,2023,1,62,233.7316017520426,12.748996459202328,1.4165551621335917,43.91321002614134
2023-01-01,Brooklyn,345,24,4,70,2736074,2023,1,94,151.31169697895598,10.526031094188243,1.7543385156980402,41.226955118903945
